smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
O=S(=O)(Cc1ccc(C(F)(F)F)cc1)N1CCc2c([nH]c3ccccc23)C1,oracle,autodockgpu,-7.2300000000000004,energy,"{""free_energy"": -7.07, ""intermolecular_energy"": -8.26, ""internal_energy"": -0.96, ""cluster_size"": 5, ""cluster_id"": 2, ""rank_in_cluster"": 5}",-7.23,0.0,271.37,1
O=S(=O)(Cc1ccc(C(F)(F)F)cc1)N1CCc2c([nH]c3ccccc23)C1,oracle,autodockgpu,-7.2300000000000004,energy,"{""free_energy"": -7.11, ""intermolecular_energy"": -8.3, ""internal_energy"": -0.93, ""cluster_size"": 5, ""cluster_id"": 2, ""rank_in_cluster"": 2}",-7.15,1.2,271.46,1
O=S(=O)(Cc1ccc(C(F)(F)F)cc1)N1CCc2c([nH]c3ccccc23)C1,oracle,autodockgpu,-7.2300000000000004,energy,"{""free_energy"": -7.14, ""intermolecular_energy"": -8.33, ""internal_energy"": -0.93, ""cluster_size"": 12, ""cluster_id"": 1, ""rank_in_cluster"": 4}",-7.15,1.28,271.43,1
O=S(=O)(Cc1ccc(C(F)(F)F)cc1)N1CCc2c([nH]c3ccccc23)C1,oracle,autodockgpu,-7.2300000000000004,energy,"{""free_energy"": -7.09, ""intermolecular_energy"": -8.28, ""internal_energy"": -0.94, ""cluster_size"": 5, ""cluster_id"": 2, ""rank_in_cluster"": 3}",-7.14,1.33,271.49,1
O=S(=O)(Cc1ccc(C(F)(F)F)cc1)N1CCc2c([nH]c3ccccc23)C1,oracle,autodockgpu,-7.2300000000000004,energy,"{""free_energy"": -6.97, ""intermolecular_energy"": -8.16, ""internal_energy"": -0.95, ""cluster_size"": 12, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-7.14,1.37,271.49,1
O=S(=O)(Cc1ccc(C(F)(F)F)cc1)N1CCc2c([nH]c3ccccc23)C1,oracle,autodockgpu,-7.2300000000000004,energy,"{""free_energy"": -7.1, ""intermolecular_energy"": -8.29, ""internal_energy"": -0.86, ""cluster_size"": 12, ""cluster_id"": 1, ""rank_in_cluster"": 7}",-7.13,1.36,271.52,1
O=S(=O)(Cc1ccc(C(F)(F)F)cc1)N1CCc2c([nH]c3ccccc23)C1,oracle,autodockgpu,-7.2300000000000004,energy,"{""free_energy"": -7.15, ""intermolecular_energy"": -8.35, ""internal_energy"": -0.91, ""cluster_size"": 12, ""cluster_id"": 1, ""rank_in_cluster"": 3}",-7.1,1.09,271.45,1
O=S(=O)(Cc1ccc(C(F)(F)F)cc1)N1CCc2c([nH]c3ccccc23)C1,oracle,autodockgpu,-7.2300000000000004,energy,"{""free_energy"": -6.91, ""intermolecular_energy"": -8.1, ""internal_energy"": -0.72, ""cluster_size"": 12, ""cluster_id"": 1, ""rank_in_cluster"": 12}",-7.04,1.23,271.35,1
O=S(=O)(Cc1ccc(C(F)(F)F)cc1)N1CCc2c([nH]c3ccccc23)C1,oracle,autodockgpu,-7.2300000000000004,energy,"{""free_energy"": -7.07, ""intermolecular_energy"": -8.26, ""internal_energy"": -0.95, ""cluster_size"": 5, ""cluster_id"": 2, ""rank_in_cluster"": 4}",-7.04,1.48,271.42,1
O=S(=O)(Cc1ccc(C(F)(F)F)cc1)N1CCc2c([nH]c3ccccc23)C1,oracle,autodockgpu,-7.2300000000000004,energy,"{""free_energy"": -6.96, ""intermolecular_energy"": -8.15, ""internal_energy"": -0.72, ""cluster_size"": 12, ""cluster_id"": 1, ""rank_in_cluster"": 11}",-6.97,1.46,271.44,1
