,smiles,rmsd,energy,structure
0,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,4.334757224665126,-6.86,"39    O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c...
Name: Structure, dtype: object"
1,O=C(CCCOc1ccc(Cl)cc1Cl)NN=Cc1cccnc1F,5.470210902373386,-6.81,"168    O=C(CCCOc1ccc(Cl)cc1Cl)N/N=C\c1cccnc1F
Name: Structure, dtype: object"
2,O=c1c2ccccc2nc(/C=C/c2cccnc2)n1Cc1ccc(Cl)cc1,4.675701847191635,-7.53,"216    O=c1c2ccccc2nc(/C=C\c2cccnc2)n1Cc1ccc(Cl)cc1
Name: Structure, dtype: object"
3,CCNC1CN(c2nc(N3CCc4ccccc4C3)nc(N3CCc4ccccc4C3)n2)CCO1,2.0191973524345808,-9.05,"331    CCN[C@H]1CN(c2nc(N3CCc4ccccc4C3)nc(N3CCc4ccccc...
Name: Structure, dtype: object"
4,C[C@H](NC(=O)c1cc2c(=O)n3ccccc3nc2[nH]c1=N)c1ccccc1,4.202962014398735,-7.87,"367    C[C@H](NC(=O)c1cc2c(=O)n3ccccc3nc2[nH]c1=N)c1c...
Name: Structure, dtype: object"
5,O=c1c2ccccc2nc(/C=C/c2cccnc2)n1CC1CCCCC1,3.914461202251895,-6.45,"440    O=c1c2ccccc2nc(/C=C/c2cccnc2)n1CC1CCCCC1
Name: Structure, dtype: object"
6,O=S(=O)(Cc1ccccc1)N1Cc2ccccc2C1c1c[nH]c2ccccc12,4.4666458231651625,-6.27,"485    O=S(=O)(Cc1ccccc1)N1Cc2ccccc2[C@@H]1c1c[nH]c2c...
Name: Structure, dtype: object"
7,CCC(=O)N(c1ccccc1)C1CCN(C(=O)[C@@H](N)C2Cc3ccccc3C2)CC1,3.3807431013959333,-7.59,"583    CCC(=O)N(c1ccccc1)C1CCN(C(=O)[C@@H](N)C2Cc3ccc...
Name: Structure, dtype: object"
8,O=c1c2ccccc2nc(/C=C/c2cccnc2)n1Cc1ccccc1,4.2103833661161225,-7.06,"626    O=c1c2ccccc2nc(/C=C/c2cccnc2)n1Cc1ccccc1
Name: Structure, dtype: object"
9,NC(=O)c1ccc2cc(C(=O)N3C[C@]4(CCN(C5CCNC5)C4)c4ccccc43)[nH]c2c1,2.1641788427213227,-8.04,"690    NC(=O)c1ccc2cc(C(=O)N3C[C@]4(CCN([C@@H]5CCNC5)...
Name: Structure, dtype: object"
10,O=C(CCCOc1ccc(Cl)cc1Cl)NN=Cc1cccc(C(F)(F)F)c1,5.131304101790644,-6.14,"779    O=C(CCCOc1ccc(Cl)cc1Cl)N/N=C/c1cccc(C(F)(F)F)c1
Name: Structure, dtype: object"
11,CN1CCN(C(=O)c2cccc(C3=Nc4ccc(C#Cc5ccccc5)cc4NC(=O)C3)c2)CC1,7.42996972473481,-5.58,"873    CN1CCN(C(=O)c2cccc(C3=Nc4ccc(C#Cc5ccccc5)cc4NC...
Name: Structure, dtype: object"
12,COc1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)CNC(=O)c2ccc3cc(F)ccc3n2)c(Cl)c1,1.6573278240020384,-6.43,"936    COc1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O...
Name: Structure, dtype: object"
